FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25f7,64995,Restauração do Museu Dom José,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-40.239 -3.674),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25f6,64996,Requalificação do Museu do Eclipse,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-40.239 -3.674),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25f5,64997,Restauração do Museu Madi,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-40.239 -3.674),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25f4,64998,Restauração dos galpões da antiga Fábrica de Tecidos - Campus da UFC - Memorial da Indústria Têxtil- Serviços Administrativos e Biblioteca Central e Centro de Convivência/ Refeitório Central,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Universidade Federal,CE,SOBRAL,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-40.239 -3.674),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25f3,64999,Restauração do Palacete Chagas Barreto - apoio ao Teatro São José,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-40.239 -3.674),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25f2,65000,Restauração da Casa Mendes Carneiro - implantação da Casa do Professor,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-40.239 -3.674),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25f1,65001,Restauração da Igreja do Menino Deus,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-40.239 -3.674),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25f0,65002,Requalificação da Praça do Menino Deus,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-40.239 -3.674),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25ef,65003,Restauração do Abrigo Sagrado Coração de Jesus,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-40.239 -3.674),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25ee,65004,Restauração do Teatro Apolo - implantção do Instuituto de Urbanismo de Sobral,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,CE,SOBRAL,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-40.239 -3.674),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25ed,65005,Restauração da Igreja das Dores,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,CE,SOBRAL,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-40.239 -3.674),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25ec,65006,Restauração da Estação Ferroviária,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,GO,GOIÂNIA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-49.254 -16.679),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25eb,65007,Requalificação da Praça Dr. Pedro Ludovico Texeira/ Praça Cívica,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,GO,GOIÂNIA,--,,Em obras,30 de Junho de 2015,POINT (-49.254 -16.679),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25ea,65008,Restauração do Casarão da Escola de Artes Veiga Valle,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,GO,GOIÁS,--,,Em obras,30 de Junho de 2015,POINT (-50.14 -15.934),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25e9,65009,Recuperação da Ponte da Cambaúba,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,GO,GOIÁS,--,,Concluído,30 de Junho de 2015,POINT (-50.14 -15.934),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25e8,65010,Restauração do Mercado Municipal,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,GO,GOIÁS,--,,Em obras,30 de Junho de 2015,POINT (-50.14 -15.934),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25e7,65011,Restauração do Cine Teatro São Joaquim,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,GO,GOIÁS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-50.14 -15.934),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25e6,65012,Restauração do Casarão da Prefeitura Municipal,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,GO,GOIÁS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-50.14 -15.934),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25e5,65013,Requalificação da Sede da Diocese de Goiás - instalação do Arquivo Diocesano,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,GO,GOIÁS,--,,Em obras,30 de Junho de 2015,POINT (-50.14 -15.934),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25e4,65014,Restauração do Palácio das Lágrimas - UFMA - Palácio da Ciência,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Universidade Federal,MA,SÃO LUÍS,--,,Em obras,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25e3,65015,Restauração Sobrado do Forum Universitário - UFMA - Curso de Direito,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Universidade Federal,MA,SÃO LUÍS,--,,Em obras,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25e2,65016,Restauração do Palácio Cristo Rei - UFMA - Reitoria,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Universidade Federal,MA,SÃO LUÍS,--,,Em obras,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25e1,65017,Restauração do sobrado da Rua da Estrela- 386 - FAPEMA,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,,Em obras,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25e0,65018,Restauração do imóvel da R. 14 de Julho - Teatro Tablado - UFMA,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Universidade Federal,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25df,65019,Restauração do sobrado da Rua da Estrela - Faculdade de História,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,,Em obras,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25de,65020,Restauração da Fábrica São Luís - Câmara de Vereadores,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25dd,65021,Restauração do Mercado Central,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25dc,65022,Restauração da Estação Ferroviária - Centro  Cultural,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25db,65023,Restauração e adaptação do Palecete da R. Formosa- 46 - Sec. Mun. de Turismo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25da,65024,Restauração do Sobrado da Av. Pedro II- 199/205 - Junta Comercial,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25d9,65025,Requalificação da Pç. João Lisboa e Largo do Carmo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25d8,65026,Restauração da Igreja do Carmo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25d7,65027,Implantação da Praça das Mercês,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25d6,65028,Requalificação da Pç. da Alegria,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,,Concluído,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25d5,65029,Restauração do Sobrado da R. Portugal- 303 - Secretaria do Estado da Cultura,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25d4,65030,Restauração do Solar dos Vasconcelos - Dep. De Patrimonio Histórico,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25d3,65031,Restauração da Escola de Música do Estado do Maranhão,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25d2,65032,Restauração do Sobrado da Baronesa de São Bento - COTEATRO,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25d1,65033,Restauração do Museu Historico Artístico do Maranhão,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25d0,65034,Restauração do Teatro Artur Azevedo,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25cf,65036,Restauração do sobrado da R. Portugal - Casa de Nhozinho,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25ce,65037,Restauração dos Antigo Galpão de Algodão - Centro de Criatividade Odylo Costa Filho,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25cd,65038,Restauração do Sobrado da Rua do Giz - Centro de Cultura Popular,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25cc,65039,Restauração do sobrado da R. Portugal - Museu de Artes Visuais,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25cb,65040,Restauração do sobrado da R. Giz - Centro de Arqueologia,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25ca,65041,Restauração do sobrado da R. da Estrela - Biblioteca Escolar,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25c9,65042,Restauração do Teatro João do Vale,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25c8,65043,Restauração do Sobrado do Arquivo Público,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25c7,65044,Restauração da Antiga ALfândega - Casa do Maranhão,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25c6,65045,Restauração do sobrado à R. de Nazaré- 316 - Secretaria de Direitos Humanos,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25c5,65046,Requalificação da Fortaleza São Luís,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25c4,65047,Restauração do sobrado do Centro Artístico Operário,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25c3,65048,Recuperação do sobrado à R. de Nazaré- 135 - anexo do Museu da Gastronomia,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,,Em obras,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25c2,65049,Restauração de casarões na R. do Giz - Implantação do Polo Digital,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25c1,65050,Restauração da Igreja de Santana,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25c0,65051,Restauração da Igreja de Santo Antônio,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25bf,65052,Restauração da Igreja de São João,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25be,65053,Restauração de casarões na R. da Palma- 445 e 459 (habitação de interesse social),Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25bd,65054,Restauração da Fachada de Azulejo do Sobrado da Praça João Lisboa- 37,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,,Concluído,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25bc,65055,Requalificação Urbanística da R. Grande (incluindo embutimento da fiação aérea),Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,,Em obras,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25bb,65056,Restauração do Sobrado R. Nazaré- 58 - Centro Educacional Guaxenduba,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25ba,65057,Restauração do Sobrado à Rua do Giz esquina com Rua 14 de Julho - Escola de Música da UEMA,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25b9,65058,Restauração do sobrado da Praça Antônio Lobo - Casa do Estudante - UEMA,Cidade Melhor,Cidades Históricas,Ministério da Cultura,IPHAN,MA,SÃO LUÍS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-44.303 -2.53),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25b8,65059,Restauração da Igreja Matriz de Nossa da Conceição,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,CONGONHAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-43.858 -20.5),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25b7,65060,Restauração da Basílica do Senhor do Bom Jesus de Matozinhos - obra,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,CONGONHAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-43.858 -20.5),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25b6,65061,Restauração da Igreja do Rosário,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,CONGONHAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-43.858 -20.5),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25b5,65062,Requalificação do adro da Basílica do Senhor do Bom Jesus de Matozinhos,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,CONGONHAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-43.858 -20.5),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25b4,65063,Requalificação urbanística da Alameda Cidade Matozinhos de Portugal,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,CONGONHAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-43.858 -20.5),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25b3,65064,Restauração e requalificação do edifício da Romaria,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,CONGONHAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-43.858 -20.5),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25b2,65065,Implantação do Parque da Romaria,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,CONGONHAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-43.858 -20.5),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25b1,65066,Restauração do Cine Teatro Leon,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,CONGONHAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-43.858 -20.5),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25b0,65067,Restauração do Casarão do Museu da Imagem e Memória,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,CONGONHAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-43.858 -20.5),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25af,65068,Restauração da antiga Câmara dos Vereadores,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,CONGONHAS,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-43.858 -20.5),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25ae,65069,Requalificação da Praça Dom Joaquim (adro da Igreja de N. S. do Rosário),Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,DIAMANTINA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-43.6 -18.249),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25ad,65070,Restauração do Casarão do Museu de Arte Sacra de Diamantina,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,DIAMANTINA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-43.6 -18.249),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25ac,65071,Requalificação da Praça JK,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,DIAMANTINA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Em licitação de projeto,30 de Junho de 2015,POINT (-43.6 -18.249),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25ab,65072,Restauração do antigo Diamantina Tênis Club,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,DIAMANTINA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-43.6 -18.249),0
cidadeshistoricas.fid-26cf0271_1568a41ff06_-25aa,65073,Requalificação urbanística do Largo Dom João e Praça Sagrado Coração de Jesus,Cidade Melhor,Cidades Históricas,Ministério da Cultura,Município,MG,DIAMANTINA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2015,POINT (-43.6 -18.249),0
